name,longitude,latitude
Abang Hub,115.614027,-8.33362
Abiansemal Hub,115.2108,-8.541349
Adiwerna 2 Hub,109.118549,-6.940724
Adiwerna Hub,109.110328,-6.926466
Aesesa Hub,121.3327,-8.57958
Ajibarang Hub,109.075264,-7.413101
Alak DC,123.549862,-10.179267
Alak Hub,123.574917,-10.213972
Alas Hub,116.981833,-8.515694
Alok Hub,122.206277,-8.641592
Ambarawa Hub,110.404024,-7.277492
Andong Hub,110.759758,-7.372934
Arjawinangun Hub,108.417465,-6.663385
Asakota Hub,118.755778,-8.437852
Atambua Kota Hub,124.897906,-9.107663
Babadan Hub,111.495687,-7.822459
Babelan 2 Hub,107.045077,-6.168201
Bagelen Hub,109.996033,-7.819141
Baki Hub,110.78673,-7.591641
Balong Hub,111.434033,-7.966824
Balongbendo Hub,112.542371,-7.414092
Bandongan Hub,110.1942,-7.467748
Bandung Utara Hub,107.587704,-6.907589
Bangkalan Kota Hub,112.761063,-7.043367
Banguntapan 2 Hub,110.396113,-7.85599
Banguntapan Hub,110.40999,-7.812799
Banjar Hub,114.971655,-8.188457
Banjarangkan Hub,115.389589,-8.552617
Banjarnegara Hub,109.679479,-7.399289
Banjarsari Hub,108.621337,-7.491795
Banjarsari Solo Hub,110.81374,-7.548125
Bantarsari Hub,108.862546,-7.531882
Banyumas 2 DC,109.268047,-7.454763
Banyumas DC,109.280522,-7.450453
Banyumas Hub,109.067054,-7.517965
Barat 2 Hub,111.472838,-7.566863
Barat Hub,111.443379,-7.601066
Batang Hub,109.718722,-6.931297
Batu Layar Hub,116.074908,-8.541226
Batukliang Hub,116.316854,-8.61684
Baturetno Hub,110.956825,-7.944018
Bawang Batang Hub,109.91891,-7.093422
Bawang Hub,109.653873,-7.400466
Beji Kota Depok Hub,106.813362,-6.376892
Bekasi Timur 2 Hub,107.025664,-6.231997
Bekasi Utara Hub,107.003659,-6.20479
Bendosari Hub,110.83983,-7.64889
Berbah DC,110.446271,-7.803702
Biringkanaya 2 Hub,119.502669,-5.097924
Bobotsari Hub,109.364866,-7.311541
Bogor Utara 2 Hub,106.824916,-6.547069
Boja Hub,110.268725,-7.10562
Bojongsari Hub,109.331417,-7.347583
Bolo Hub,118.624292,-8.507428
Bonang Hub,110.599706,-6.834569
Borobudur Hub,110.218002,-7.604607
Borong Hub,120.606253,-8.813367
Brebes Hub,109.059452,-6.875918
Buaran 3 Hub,109.640953,-6.93854
Bulakamba 2 Hub,108.992139,-6.874553
Buleleng Hub,115.040911,-8.15253
Bumiayu Hub,108.97341,-7.260758
Bungkal Hub,111.453244,-8.00938
Candisari Hub,110.432394,-7.009421
Cengkareng 6 Hub,106.76581,-6.15435
Cepu Hub,111.587207,-7.136558
Ciampea 2 Hub,106.708114,-6.575468
Cibeunying Kidul Hub,107.636606,-6.914323
Cibitung 2 Hub,107.090254,-6.22261
Cibungbulang Hub,106.645669,-6.575278
Cicalengka Hub,107.868897,-7.008995
Cikarang Selatan 2 Hub,107.109399,-6.347001
Cikarang Utara 2 Hub,107.170806,-6.274583
Cikeusal Lor Hub,108.876807,-7.052469
Cikupa Hub,106.511311,-6.230699
Cilacap Hub,109.017589,-7.711339
Cilacap Utara 2 Hub,109.045333,-7.685139
Cileungsi Hub,106.978903,-6.386858
Cilimus Hub,108.507397,-6.849676
Cilincing 2 Hub,106.95665,-6.122536
Cilincing 3 Hub,106.927699,-6.14697
Cilongok Hub,109.171998,-7.414248
Cimanggis Hub,106.879196,-6.439252
Cimanggu 2 Hub,108.842185,-7.356126
Cipayung Jakarta Timur Hub,106.904166,-6.31845
Dawe Hub,110.869813,-6.733203
Delanggu Hub,110.689423,-7.642444
Demak Hub,110.611852,-6.914015
Denpasar DC,115.298586,-8.623112
Denpasar Hub,115.189692,-8.675127
Denpasar Selatan 2 Hub,115.233174,-8.707742
Depok 2 Hub,110.464964,-7.760445
Depok 3 Hub,110.392602,-7.778719
Depok Hub,110.399969,-7.752832
Dlingo Hub,110.468738,-7.925082
Dompu Hub,118.455598,-8.5311
Driyorejo Hub,112.632297,-7.362699
Ende Tengah Hub,121.655427,-8.844288
Fatuleu Hub,123.878694,-10.062821
Gabus Hub,111.039275,-6.831208
Gambir 6 Hub,106.811023,-6.176165
Gamping 3 Hub,110.290407,-7.80748
Gamping Hub,110.33057,-7.796971
Gebog Hub,110.829299,-6.77501
Gemolong Hub,110.824222,-7.403278
Gemuh Hub,110.126578,-6.946258
Genuk Hub,110.472089,-6.980869
Gerokgak Hub,114.710734,-8.156705
Gerung Hub,116.129982,-8.651823
Gerung Utara Hub,116.115881,-8.686395
Geyer Hub,110.903433,-7.244873
Gili Trawangan Hub,116.037881,-8.342812
Godean Hub,110.293636,-7.767659
Godong Hub,110.771284,-7.023927
Gondokusuman Hub,110.378972,-7.793889
Gringsing Hub,110.019359,-6.971364
Grobogan Hub,110.920675,-7.031598
Grogol Petamburan 4 Hub,106.77924,-6.14426
Grogol Sukoharjo Hub,110.807174,-7.611277
Gubeng 3 Hub,112.755656,-7.28398
Gubug Hub,110.6641,-7.055887
Gumelar 2 Hub,108.982394,-7.388555
Guntur Hub,110.60614,-6.989276
Gunungpati Hub,110.39701,-7.068242
Gunungpuyuh Hub,106.942872,-6.926047
Ilir Timur II Hub,104.788736,-2.967489
Imogiri Hub,110.377611,-7.918806
Jaken Hub,111.238158,-6.775001
Jakenan Hub,111.153346,-6.770203
Jambe Hub,106.479601,-6.306388
Jambi Timur Hub,103.645249,-1.604213
Jampang Kulon Hub,106.62389,-7.273558
Jati 4 Hub,110.799454,-6.909041
Jatibarang Hub,109.063183,-6.967968
Jatinegara Kab. Tegal Hub,109.237687,-7.061277
Jatipuro Hub,111.012593,-7.746032
Jatirogo Hub,111.644014,-6.874771
Jatisampurna Hub,106.920139,-6.357139
Jatisari Hub,107.53937,-6.363824
Jatisrono Hub,111.141232,-7.828965
Jebres Hub,110.842864,-7.537202
Jekulo Hub,110.943857,-6.799906
Jepara Hub,110.706434,-6.594382
Jepara Kota Hub,110.683483,-6.592876
Jepon Hub,111.45259,-6.971505
Jerowaru Hub,116.478833,-8.779767
Jiken Hub,111.517969,-7.011629
Jogonalan Hub,110.555843,-7.724307
Jombang Hub,112.214148,-7.528713
