name,longitude,latitude
SPX Express Seller Zhongnan,106.93175,-6.153052
SPX Express Seller Cermin House,112.672426,-7.24812
SPX Express Seller Apeka,110.3425,-7.00532
SPX Express Seller Babyes,112.69575,-7.241056
SPX Express Seller Wardah,111.913682,-7.562539
SPX Express Seller Raja Karpet Indonesia Official Store,106.4489,-6.2017
SPX Express NSS Ziqo,106.716388,-6.225667
SPX Express Seller Winda Pradita,112.77656,-7.241294
SPX Express Seller Ruko Tissue,106.914564,-6.302238
SPX Express Seller BEAUTY TALK OFFICIAL,112.719601,-7.396696
SPX Express Seller Mallvose,109.550154,-6.887001
Pogalan First Mile Hub,111.772195,-8.112768
Pakel First Mile Hub,111.786609,-8.185578
Ngajum First Mile Hub,112.57791,-8.108381
Dongko First Mile Hub,111.572401,-8.189711
Tanjung Bintang 2 Hub,105.413873,-5.356186
Semarang 3 Hub,110.398778,-6.98075
Samarang 2 Hub,107.81394,-7.22274
Ngajum Hub,112.57791,-8.108381
Cibungbulang 2 Hub,106.647972,-6.574694
Cibitung Kab Pandeglang Hub,105.699692,-6.766439
Ciampea 4 Hub,106.691712,-6.559008
Belopa 2 Hub,120.367293,-3.401217
SPX Express Seller rifanyhijab Suci,107.67141,-6.947203
SPX Express Seller MILMODE,106.814221,-6.157736
SPX Express Seller Distributor Perabot,106.984225,-6.387813
SPX Express Seller Yoboo Official Shop,106.588227,-6.209728
SPX Express Seller HOHO_HWANG,106.682372,-6.209132
SPX Express Seller olshopbeauty77,106.699491,-6.096383
SPX Express Seller Omron Official Shop,106.847531,-6.356319
SPX Express Seller Buttonscarves Official Shop,106.914937,-6.196694
SPX Express Seller GUKOO Official Store,106.804257,-6.16822
SPX Express Seller Toko Hoki 87,106.772557,-6.131716
SPX Express Seller Aoki Official Shop,106.94521,-6.165833
SPX Express Seller Livi Beauty House,114.601213,-3.294742
SPX Express Seller Feliz.Kosmetik,114.589759,-3.323102
SPX Express Seller Wiselie Official Shop,106.724138,-6.229667
SPX Express Seller Noera By Reisha Official Shop,107.529756,-7.029856
SPX Express Seller bubidu babyshop,106.746968,-6.17605
SPX Express Seller BUN Pusat Bahan Bangunan,106.534706,-6.310219
SPX Express Seller Citra Grosir Sby,112.694816,-7.252172
SPX Express Seller CoffeeBagStore,106.860253,-6.518632
SPX Express Seller Warna daleman,106.70266,-6.384137
SPX Express Seller CHINGYEN13,106.719096,-6.134658
SPX Express Seller TAKASHI,106.724429,-6.187217
SPX Express Seller Best Acc,106.915419,-6.183246
SPX Express Seller Ratu Grosir,106.775809,-6.116365
SPX Express Seller Benih Seribuan Official Store,110.595327,-7.577247
SPX Express Seller Tiebymin Official Shop,106.811967,-6.344743
SPX Express Seller Mireya Cosmetics Official Shop,106.659654,-6.376722
SPX Express Seller P&F Fashion,106.792524,-6.146667
SPX Express Seller Sadika_Olshop,107.014886,-6.181522
SPX Express Seller Bravhom Official Store,107.01771,-6.413109
SPX Express Seller jam tangan MAIYU,106.823911,-6.572995
SPX Express Seller BnB Skincare.,106.53638,-6.223208
SPX Express Seller Mawise Motor Parts,112.777491,-7.342501
SPX Express Seller BINTARA STORE,106.957567,-6.226099
SPX Express Seller rizalsportgrosir,108.169923,-7.244562
SPX Express Seller zandila_store,106.813052,-6.418815
SPX Express Seller ZALSA Pride Store,106.782617,-6.610048
SPX Express Seller ASL Shop,106.818761,-6.440003
SPX Express Seller TAIYO SHOP INDO,107.607957,-6.936336
SPX Express Seller jusshop,106.80334,-6.168308
SPX Express Seller Satu Keluarga Official Shop,106.677996,-6.076462
SPX Express Seller SANIYE Official Shop,106.681203,-6.138612
SPX Express Seller CKK OFFICIAL,106.622865,-6.250346
SPX Express Seller Mcdodo Official Shop,106.803982,-6.168648
SPX Express Seller ARDENLEON Official Shop,106.706539,-6.131502
SPX Express Seller ONLYOU.,106.719421,-6.105915
SPX Express Seller Jaya makmur 2,112.551799,-7.253947
SPX Express Seller Murah Dot Kom,106.807196,-6.168115
SPX Express Seller Etawalin Distributor,106.914975,-6.146415
SPX Express Seller PAKELO,106.61715,-6.201025
SPX Express Seller Bocyn Bag,107.673325,-6.930671
SPX Express Seller SKIN1004 Indonesia Official,106.93464,-6.110737
SPX Express Seller nakenshop2,112.533067,-7.199016
SPX Express Seller Baellerry Indonesia Official Shop,106.708581,-6.140297
SPX Express Seller KIA store09,106.772183,-6.220814
SPX Express Seller TANAH ABANG TUM,106.790547,-6.321335
SPX Express Seller ADRIELLA VARIASI MOTOR,106.823624,-6.155631
SPX Express Seller Mc automotive,106.825101,-6.154801
SPX Express Seller OLSHOP VARIASI MTR,106.822552,-6.152946
SPX Express Seller Aquapro Official Shop,106.721116,-6.114951
SPX Express Seller Decathlon Official Shop,106.784107,-6.269492
SPX Express Seller Ayunabella JKT,106.776476,-6.208489
SPX Express Seller PRELOVED IMPORT,106.799195,-6.171981
SPX Express Seller Honda Cengkareng Official Shop,106.617391,-6.201225
SPX Express Seller Babeebabyshop Official Shop,106.712762,-6.190657
SPX Express Seller Toko Mitra Abadi Official,106.823455,-6.157225
SPX Express Seller 7evenshop Official Shop,106.804729,-6.169524
SPX Express Seller Rose All Day Cosmetics Official Shop,106.858057,-6.368187
SPX Express Seller Mecca_hijabku,106.775942,-6.195291
SPX Express Seller Blessing Mask Official Store,106.784737,-6.171947
SPX Express Seller ROLIO GROSIR,106.679023,-6.081505
SPX Express Seller JV ACC,106.70704,-6.131981
SPX Express Seller Safiya Official Store,106.732318,-6.196371
SPX Express Seller Bening Official,112.563408,-7.050196
SPX Express Seller Jessen Baby Shop,106.830161,-6.151446
SPX Express Seller plazaremote,106.819913,-6.153423
SPX Express Seller SZ-RUAMH MALL,106.682699,-6.079416
SPX Express Seller JD.FASHION,106.808667,-6.146685
SPX Express Seller beautybooth,106.773317,-6.131798
SPX Express Seller CaselisID,106.51427,-6.220657
SPX Express Seller Hasanah. Net,106.678039,-6.077148
SPX Express Seller sscjayashop,112.751994,-7.350968
SPX Express Seller Rightbox.id Official Shop,106.975211,-6.273926
SPX Express Seller distributor.cream.ori,106.874272,-6.161484
SPX Express Seller davecolection95,106.823264,-6.156193
SPX Express Seller JJSSHOP,106.947842,-6.195236
SPX Express Seller Playboy Store,106.767694,-6.175037
SPX Express Seller Dobujack Official Shop,107.683448,-6.916986
SPX Express Seller hawaisembiring,107.466731,-7.082478
SPX Express Seller Javinci Official Shop,106.744543,-6.190409
SPX Express Seller Basike Official Shop,106.749553,-6.128084
SPX Express Seller SW_shop1817,112.413847,-7.525028
SPX Express Seller Wardah Official Shop,98.813741,3.535791
SPX Express Seller Somura Mart,106.612858,-6.244092
SPX Express Seller Chiniago Watch,106.76096,-6.130919
SPX Express Seller lionstarvariasi,106.821432,-6.157867
SPX Express Seller RAYYANZ HIJAB,106.772416,-6.223796
SPX Express Seller wivios,104.762219,-2.931793
SPX Express Seller Murahmurah.banget,106.719509,-6.243906
SPX Express Seller Facetology Official Shop,106.617478,-6.154445
SPX Express Seller Duta Grosir Baju,106.9063,-6.26884
SPX Express Seller Honey Wear Official Shop,106.796408,-6.141239
SPX Express Seller mettayunitahomemade,106.746631,-6.145077
SPX Express Seller Cassandra Kosmetik,104.78282,-2.943905
SPX Express Seller Vaya Madelon Official Shop,106.764836,-6.182683
SPX Express Seller BEVERRA OFFICIAL STORE,106.70301,-6.192199
SPX Express Seller LanmeJewelry,106.699914,-6.194006
SPX Express Seller Biotalk Official Shop,106.774437,-6.188907
SPX Express Seller Berryman_shop,112.754269,-7.396458
SPX Express Seller makaroni.sos,112.603659,-7.38071
SPX Express Seller saylendra galery,112.60471,-7.413972
SPX Express Seller Tukungenebos,106.680036,-6.082917
SPX Express Seller hellobrandholic,108.533529,-6.723132
SPX Express Seller Les Catino.Indonesia,106.854472,-6.432498
SPX Express Seller DiniJay96,112.47407,-7.496124
SPX Express Seller Vion Indonesia,106.591372,-6.264881
SPX Express Seller CherryBabyKidsShop Official shop,106.904756,-6.166598
SPX Express Seller Dacco Official Shop,106.616776,-6.164055
SPX Express Seller AK ACCESSORIES,106.595523,-6.150078
SPX Express Seller KAKAMART.ID,106.581626,-6.134518
SPX Express Seller NajwaFashionMuslim,106.802355,-6.149795
SPX Express Seller OKEY BELI,106.680665,-6.083791
SPX Express Seller happygif.id,106.591362,-6.26491
SPX Express Seller Clodistore Official Shop,106.829763,-6.419116
SPX Express Seller HANSYA GROSIR HIJAB,107.449879,-6.388276
SPX Express Seller Watsons Indonesia Official Shop,106.563893,-6.207024
SPX Express Seller SayiShop,106.716192,-6.18719
SPX Express Seller mareema.id,107.521897,-7.021831
SPX Express Seller Mommy n Me Official Shop,110.349922,-7.741838
SPX Express Seller KAOS INDO OFFICIAL,107.672833,-6.945729
SPX Express Seller Tiger Workshop,106.806135,-6.158755
SPX Express Seller dinafshn,107.538055,-7.045425
SPX Express Seller Enji Official Shop,106.51267,-6.212292
SPX Express Seller BSM_Variasi99 JKT,106.791491,-6.143305
SPX Express Seller Pompurin Store,112.776033,-7.32286
SPX Express Seller Vallina Outfit Official Shop,107.619355,-6.946568
SPX Express Seller Yesplus Official Shop,106.738557,-6.159076
SPX Express Seller MS Glow official shopee,106.792972,-6.264164
SPX Express Seller indahnatalia15,106.919391,-6.285927
SPX Express Seller Laamia Hijab,110.484748,-7.004905
SPX Express Seller ARJUNA KIDS,110.477553,-6.993428
SPX Express Seller Hanasui Official Shop,106.535066,-6.207725
SPX Express Seller Ceri Mart,106.803631,-6.178716
SPX Express Seller Kymm Skin Official Store,110.37736,-7.728479
SPX Express Seller Acnaway Official Shop,106.844878,-6.143192
SPX Express Seller KiiP Official Shop,106.669333,-6.166663
SPX Express Seller Nutrifarm Official,106.610939,-6.24218
SPX Express Seller Bestseller1,106.756596,-6.181507
SPX Express Seller istanaselimut,106.766016,-6.177285
SPX Express Seller Akrilik Teknika,106.781762,-6.229245
SPX Express Seller Female Daily.Id,112.560645,-7.23724
SPX Express Seller TokoMamaJA,106.808898,-6.171622
SPX Express Seller Y Z C,106.619677,-6.203647
SPX Express Seller Comanier Official Store,106.678978,-6.082398
SPX Express Seller Yooyi Official Shop,106.683751,-6.080758
SPX Express Seller ARRIZAL28,112.700306,-7.460756
SPX Express Seller Lapak Musiman,106.799088,-6.155105
SPX Express Seller tokomurah2888,106.819935,-6.15605
SPX Express Seller Eiger Adventure Official Store,106.860588,-6.414662
SPX Express Seller kicaumart,107.58552,-6.907669
SPX Express Seller Toko Eros,106.867764,-6.159397
SPX Express Seller ATOB Sport,106.628993,-6.138175
SPX Express Seller The Originote Official Shop,106.737499,-6.156571
SPX Express Seller Kucingbilly,106.786355,-6.112486
SPX Express Seller Kios Official Store,106.729145,-6.12834
SPX Express Seller Grace & Glow Official Shop,106.873174,-6.337175
SPX Express Seller lookbeauty.id,106.840477,-6.139044
SPX Express Seller Alysoy_Shop,106.843619,-6.134879
SPX Express Seller HugoHousewareJakarta,106.674568,-6.16957
SPX Express Seller Hoptech Official Store - Surabaya,112.643294,-7.200432
SPX Express Seller WD SHOP,106.680558,-6.084224
SPX Express Seller win_bag_collection,106.679568,-6.083153
SPX Express Seller MALL PERABOT INDONESIA,106.684185,-6.081773
SPX Express Seller Dodory,106.677829,-6.076489
SPX Express Seller sampai7an,106.683834,-6.082697
