lm_station_name,last_1trip,last_multi
2 X 11 Enam Lingkung Hub,5:00,13:00
Abang Hub,5:00,12:00
Abeli Hub,5:00,13:00
Abepura 2 Hub,5:00,13:00
Abepura Hub,5:00,13:00
Abiansemal Hub,5:00,13:00
Abung Barat Hub,5:00,13:00
Abung Selatan Hub,5:00,13:00
Abung Tengah Hub,5:00,13:00
Abung Timur 2 Hub,5:00,12:00
Abung Timur Hub,5:00,13:00
Adian Koting Hub,5:00,13:00
Adimulyo Hub,5:00,14:00
Adipala Hub,5:00,14:00
Adiwerna 2 Hub,5:00,14:00
Adiwerna Hub,5:00,14:00
Adonara Timur Hub,5:00,12:00
Adu Manis Hub,5:00,13:00
Aek Kanopan Hub,5:00,13:00
Aek Kuo Hub,5:00,13:00
Aek Natas Hub,5:00,13:00
Aesesa Hub,5:00,13:00
Agats Hub,5:00,13:00
Aikmel Hub,5:00,13:00
Air Gegas Hub,5:00,12:00
Air Hitam Hub,5:00,13:00
Air Joman Hub,5:00,13:00
Air Kumbang Hub,5:00,13:00
Air Manjunto Hub,5:00,13:00
Air Napal Hub,5:00,13:00
Air Periukan Hub,5:00,13:00
Air Putih Hub,5:00,13:00
Air Upas Hub,5:00,13:00
Airmadidi Hub,5:00,13:00
Ajibarang Hub,5:00,14:00
Ajung Hub,5:00,14:00
Akabiluru Hub,5:00,13:00
Alak Hub,5:00,13:00
Alalak Hub,5:00,13:00
Alang Alang Lebar Hub,5:00,13:00
Alas Hub,5:00,13:00
Alian Hub,5:00,14:00
Alla Hub,5:00,15:00
Alok Hub,5:00,13:00
Amali Hub,5:00,13:00
Ambarawa Hub,5:00,14:00
Ambulu 2 Hub,5:00,14:00
Ambulu Hub,5:00,14:00
Ampana Kota Hub,5:00,12:00
Ampana Tete Hub,5:00,12:00
Ampek Angkek Hub,5:00,13:00
Ampek Nagari Hub,5:00,12:00
Ampel Hub,5:00,14:00
Ampelgading Hub,5:00,14:00
Ampenan Hub,5:00,13:00
Ampibabo Hub,5:00,12:00
Amuntai Tengah Hub,5:00,13:00
Amurang Barat Hub,5:00,12:00
Anak Tuha Hub,5:00,13:00
Andir Hub,5:00,14:00
Andong Hub,5:00,14:00
Andoolo Hub,5:00,12:00
Andowia Hub,5:00,12:00
Anggana Hub,5:00,13:00
Angkola Barat Hub,5:00,13:00
Angkola Selatan Hub,5:00,13:00
Angkola Timur Hub,5:00,13:00
Angkona Hub,5:00,12:00
Angsana Hub,5:00,13:00
Anjatan Hub,5:00,14:00
Anjir Muara Hub,5:00,13:00
Anjongan Hub,5:00,13:00
Antang Kalang Hub,5:00,13:00
Antapani Hub,5:00,14:00
Anyar Hub,5:00,14:30
Aralle Hub,5:00,13:00
Arcamanik Hub,5:00,14:00
Arjasa Hub,5:00,14:00
Arjasari Hub,5:00,14:00
Arjawinangun Hub,5:00,14:00
Arjosari Hub,5:00,14:00
Arosbaya Hub,5:00,14:00
Arso 2 Hub,5:00,12:00
Arso Hub,5:00,13:00
Arut Selatan 3 Hub,5:00,13:00
Arut Selatan Hub,5:00,13:00
Asakota Hub,5:00,13:00
Asembagus Hub,5:00,14:00
Asemrowo 3 Hub,5:00,14:00
Asemrowo Hub,5:00,14:00
Astambul Hub,5:00,13:00
Astana Anyar Hub,5:00,14:00
Astanajapura Hub,5:00,14:00
Atambua Kota Hub,5:00,13:00
Awangpone Hub,5:00,12:00
Awayan Hub,5:00,13:00
Ayah Hub,5:00,14:00
BATALAIWARU (BATALAIWORU) Hub,5:00,13:00
Baamang 2 Hub,5:00,13:00
Baamang 3 Hub,5:00,13:00
Baamang Hub,5:00,13:00
Babadan Hub,5:00,14:00
Babakan Ciparay 3 Hub,5:00,14:00
Babakan Madang Hub,5:00,14:00
Babalan Hub,5:00,13:00
Babat Hub,5:00,14:00
Babat Supat Hub,5:00,12:00
Babat Toman Hub,5:00,13:00
Babelan 2 Hub,5:00,14:00
Babelan 4 Hub,5:00,14:00
Babulu Hub,5:00,13:00
Babussalam Hub,5:00,13:00
Bacan Hub,5:00,13:00
Bacukiki Barat Hub,5:00,13:00
