origin_station,dest_station,route_type,duration_final
Maros DC,Pitumpanua Hub,SOC - LM,8:00:00
Sunter DC,Cilegon Hub,SOC - LM,3:20:00
Ketapang Kalbar DC,Ketapang Kalbar Hub,SOC - LM,0:37:00
Malang DC,Tumpang Hub,SOC - LM,0:51:00
Semarang DC,Ngaliyan 3 Hub,SOC - LM,1:00:00
Rungkut DC,Karangpilang Hub,SOC - LM,0:45:00
Virtual Rungkut DC,Sampang Hub,SOC - LM,3:06:00
Virtual Cirebon DC,Indramayu Hub,SOC - LM,1:15:00
Virtual Rungkut DC,Tanah Merah Bangkalan Hub,SOC - LM,2:29:00
Bandung Kopo DC,Caringin Garut Hub,SOC - LM,8:30:00
Kudus DC,Jakenan Hub,SOC - LM,1:48:00
Maros DC,Makassar 2 Hub,SOC - LM,1:30:00
Pontianak DC,Semitau Hub,SOC - LM,14:39:00
Banyumas DC,Dukuhturi Hub,SOC - LM,2:00:00
Makassar DC,Binamu Hub,SOC - LM,4:10:00
Banjarmasin 2 DC,Mantewe Hub,SOC - LM,8:32:00
Virtual Cirebon DC,Panguragan Hub,SOC - LM,0:50:00
Cinambo DC,Leles Hub,SOC - LM,1:30:00
Lampung DC,Way Kanan Hub,SOC - LM,5:19:00
Medan DC,Pegajahan Hub,SOC - LM,1:40:00
Cakung DC,Medan Satria Hub,SOC - LM,1:09:00
Cinambo DC,Bungbulang Hub,SOC - LM,4:45:00
Pekanbaru DC,Bangko Rokan Hilir 2 Hub,SOC - LM,5:50:00
Jailolo DC,Wasile Timur Hub,SOC - LM,5:00:00
Pekanbaru DC,Rokan IV Koto Hub,SOC - LM,5:21:00
Depok DC,Sukaraja 3 Hub,SOC - LM,0:40:00
Berbah DC,Piyungan Hub,SOC - LM,0:26:00
Cakung DC,Cakung 12 Hub,SOC - LM,0:50:00
Malang DC,Lawang Hub,SOC - LM,0:55:00
Cinambo DC,Solokan Jeruk Hub,SOC - LM,1:10:00
Depok DC,Sukaraja Hub,SOC - LM,0:33:00
Banjarmasin 2 DC,Muara Teweh Hub,SOC - LM,14:03:00
Mataram DC,Sikur Hub,SOC - LM,1:30:00
Maros DC,Mattiro Bulu Hub,SOC - LM,6:30:00
Berbah DC,Mantrijeron Hub,SOC - LM,0:30:00
Tanjung Redeb DC,Tanjung Redeb Hub,SOC - LM,0:36:00
Cakung DC,Cakung 2 Hub,SOC - LM,1:00:00
Bandung Kopo DC,Dayeuhkolot Hub,SOC - LM,0:32:00
Rungkut DC,Banyu Anyar Hub,SOC - LM,3:50:00
Sidoarjo 2 DC,Manyar Hub,SOC - LM,1:29:00
Balikpapan DC,Muara Muntai Hub,SOC - LM,8:51:00
Cakung DC,Cilandak Hub,SOC - LM,2:08:00
Jambi DC,Tanjung Jabung Timur Hub,SOC - LM,3:00:00
Cakung DC,Penjaringan 3 Hub,SOC - LM,2:15:00
Denpasar DC,Kuta Selatan 5 Hub,SOC - LM,1:30:00
Ngawi 2 DC,Parang Hub,SOC - LM,1:35:00
Depok DC,Tapos 2 Hub,SOC - LM,0:38:00
Banyumas 2 DC,Kalibagor Hub,SOC - LM,0:30:00
